Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,30pF,C_0603_1608Metric,112.776,-91.225,90,top
C2,30pF,C_0603_1608Metric,120.904,-91.225,90,top
C3,10uF,C_0603_1608Metric,99.658,-71.882,180,top
C4,1uF,C_0603_1608Metric,114.808,-80.518,0,top
R1,10K,R_0603_1608Metric,99.594,-67.945,180,top
R2,4.7K,R_0603_1608Metric,93.925,-74,0,top
R3,4.7K,R_0603_1608Metric,98.075,-74,180,top
R4,4.7K,R_0603_1608Metric,115.252,-56.388,0,top
R5,4.7K,R_0603_1608Metric,119.38,-56.388,180,top
R6,4.7K,R_0603_1608Metric,101.537,-56.288,0,top
R7,4.7K,R_0603_1608Metric,105.473,-56.288,180,top
R8,4.7K,R_0603_1608Metric,87.059,-56.261,0,top
R9,4.7K,R_0603_1608Metric,91.249,-56.261,180,top
R10,4.7K,R_0603_1608Metric,73.216,-56.134,0,top
R11,4.7K,R_0603_1608Metric,77.343,-56.134,180,top
R12,10K,R_0603_1608Metric,112.268,-81.217,270,top
R13,10K,R_0603_1608Metric,112.268,-78.168,270,top
R14,120,R_1206_3216Metric,108.6465,-74,0,top
U1,TCA9548APWR,TSSOP-24_4.4x7.8mm_P0.65mm,93.75,-69,270,top
U2,MCP2515-I/ST,TSSOP-20_4.4x6.5mm_P0.65mm,117.348,-85.344,90,top
U3,MCP2551-I-SN,SOIC-8_3.9x4.9mm_P1.27mm,117.348,-75.946,180,top
Y1,8 mhz,Crystal_SMD_5032-2Pin_5.0x3.2mm,116.85,-92,0,top
